source,source_id,cpu,gpu,ram_gb,ram_type,storage_gb,storage_type,condition,brand,system_age_years,asking_price,sold_price,cpu_score,gpu_score,condition_score
synthetic_demo,demo-00020,AMD Ryzen 7 5800X3D,NVIDIA GeForce RTX 3080,32,DDR4,1024,NVMe SSD,excellent,ASUS,0.0,1880.18,1780.01,78.0,72.0,0.9
synthetic_demo,demo-00021,Intel Core i7-14700K,AMD Radeon RX 7800 XT,64,DDR5,1024,SATA SSD,new,Lenovo,3.8,2054.98,1835.89,93.0,73.0,1.0
synthetic_demo,demo-00022,AMD Ryzen 5 7600X,AMD Radeon RX 6700 XT,16,DDR4,512,NVMe SSD,fair,MSI,2.2,1137.85,1010.71,74.0,57.0,0.72
synthetic_demo,demo-00023,Intel Core i9-13900K,NVIDIA GeForce RTX 4070 Ti SUPER,32,DDR5,1024,NVMe SSD,good,Lenovo,2.5,1351.54,1458.49,95.0,84.0,0.84
synthetic_demo,demo-00024,Intel Core i5-13600K,NVIDIA GeForce RTX 3090,64,DDR5,2048,SATA SSD,good,HP,1.2,2032.72,1928.13,79.0,82.0,0.84
synthetic_demo,demo-00025,Intel Core i7-12700K,AMD Radeon RX 7800 XT,64,DDR5,512,NVMe SSD,new,ASUS,4.0,1749.03,1656.51,76.0,73.0,1.0
synthetic_demo,demo-00026,Intel Core i9-13900K,NVIDIA GeForce RTX 4070 Ti,16,DDR5,1024,NVMe SSD,excellent,Alienware,3.9,1698.94,1564.87,95.0,80.0,0.9
synthetic_demo,demo-00027,AMD Ryzen 9 7900X,AMD Radeon RX 7800 XT,64,DDR5,2048,NVMe SSD,good,custom,1.7,1759.71,1756.5,88.0,73.0,0.84
synthetic_demo,demo-00028,AMD Ryzen 9 7900X,NVIDIA GeForce RTX 3090,16,DDR5,1024,NVMe SSD,new,HP,0.8,2169.72,2184.89,88.0,82.0,1.0
synthetic_demo,demo-00029,AMD Ryzen 9 7950X3D,AMD Radeon RX 7900 XTX,16,DDR5,2048,NVMe SSD,fair,MSI,2.8,1806.98,1665.95,100.0,92.0,0.72
synthetic_demo,demo-00030,Intel Core i5-12400,AMD Radeon RX 7700 XT,16,DDR4,1024,NVMe SSD,good,ASUS,3.9,1144.02,1146.69,56.0,64.0,0.84
synthetic_demo,demo-00032,AMD Ryzen 7 5800X3D,NVIDIA GeForce RTX 4070 Ti SUPER,32,DDR5,2048,SATA SSD,good,Alienware,0.6,1843.35,1706.84,78.0,84.0,0.84
synthetic_demo,demo-00033,AMD Ryzen 9 7950X,Intel Arc A770,16,DDR5,2048,NVMe SSD,excellent,ASUS,1.3,1877.42,1604.73,95.0,48.0,0.9
synthetic_demo,demo-00034,Intel Core i9-13900K,NVIDIA GeForce RTX 3090,16,DDR5,512,NVMe SSD,fair,custom,2.2,1397.99,1476.8,95.0,82.0,0.72
synthetic_demo,demo-00035,AMD Ryzen 9 7950X3D,AMD Radeon RX 7800 XT,32,DDR5,1024,NVMe SSD,good,Alienware,2.5,1503.54,1494.42,100.0,73.0,0.84
synthetic_demo,demo-00036,Intel Core i7-14700K,NVIDIA GeForce RTX 4070 Ti SUPER,64,DDR5,1024,NVMe SSD,good,Lenovo,4.2,1393.92,1286.56,93.0,84.0,0.84
synthetic_demo,demo-00037,Intel Core i5-12600K,NVIDIA GeForce RTX 4090,32,DDR4,1024,NVMe SSD,like_new,custom,3.2,1498.14,1673.17,68.0,100.0,0.95
synthetic_demo,demo-00038,AMD Ryzen 7 7800X3D,AMD Radeon RX 6800 XT,16,DDR5,1024,NVMe SSD,good,MSI,2.9,1520.91,1430.41,96.0,69.0,0.84
synthetic_demo,demo-00039,AMD Ryzen 5 5600X,AMD Radeon RX 7600,32,DDR4,2048,SATA SSD,good,Dell,2.8,1357.8,1336.33,58.0,50.0,0.84
synthetic_demo,demo-00040,AMD Ryzen 9 7950X,NVIDIA GeForce RTX 4090,32,DDR4,512,NVMe SSD,good,HP,1.1,2002.43,1885.52,95.0,100.0,0.84
synthetic_demo,demo-00041,Intel Core i5-12400,NVIDIA GeForce RTX 4090,16,DDR4,4096,NVMe SSD,good,Lenovo,5.1,1799.18,1672.58,56.0,100.0,0.84
synthetic_demo,demo-00042,Intel Core i5-12400,NVIDIA GeForce RTX 4070,32,DDR5,512,NVMe SSD,good,MSI,5.3,982.43,1006.56,56.0,72.0,0.84
synthetic_demo,demo-00043,AMD Ryzen 9 7950X,NVIDIA GeForce RTX 2080,16,DDR5,1024,NVMe SSD,good,HP,1.2,1165.53,1291.68,95.0,44.0,0.84
synthetic_demo,demo-00044,AMD Ryzen 7 7700X,NVIDIA GeForce RTX 3090,64,DDR5,4096,SATA SSD,good,Dell,3.9,1512.33,1693.69,82.0,82.0,0.84
synthetic_demo,demo-00045,Intel Core i7-12700K,NVIDIA GeForce RTX 3090,16,DDR5,2048,NVMe SSD,good,Alienware,1.1,2143.94,1907.74,76.0,82.0,0.84
synthetic_demo,demo-00046,AMD Ryzen 7 5800X,AMD Radeon RX 7800 XT,32,DDR4,2048,NVMe SSD,good,HP,6.2,1668.57,1542.92,70.0,73.0,0.84
synthetic_demo,demo-00047,Intel Core i9-13900K,NVIDIA GeForce RTX 3080,64,DDR5,4096,NVMe SSD,excellent,MSI,1.1,2021.6,1895.07,95.0,72.0,0.9
synthetic_demo,demo-00048,Intel Core i5-12400,NVIDIA GeForce RTX 3060,64,DDR5,512,NVMe SSD,fair,Dell,1.4,1045.31,1067.96,56.0,48.0,0.72
synthetic_demo,demo-00049,AMD Ryzen 9 7950X,NVIDIA GeForce RTX 4070 Ti,32,DDR5,1024,NVMe SSD,good,HP,2.6,1906.69,1806.08,95.0,80.0,0.84
synthetic_demo,demo-00050,AMD Ryzen 7 5800X,NVIDIA GeForce RTX 3080,16,DDR4,1024,NVMe SSD,new,ASUS,2.5,1304.94,1495.58,70.0,72.0,1.0
synthetic_demo,demo-00051,Intel Core i9-13900K,Intel Arc A770,32,DDR5,2048,NVMe SSD,excellent,HP,2.0,1910.59,1570.18,95.0,48.0,0.9
synthetic_demo,demo-00052,Intel Core i9-13900K,AMD Radeon RX 7900 XTX,32,DDR5,1024,NVMe SSD,excellent,ASUS,3.0,2044.99,2065.5,95.0,92.0,0.9
synthetic_demo,demo-00053,AMD Ryzen 7 5800X3D,Intel Arc A770,32,DDR5,1024,NVMe SSD,good,Lenovo,0.8,1214.15,1254.96,78.0,48.0,0.84
synthetic_demo,demo-00055,AMD Ryzen 7 5800X3D,NVIDIA GeForce RTX 4070 Ti SUPER,16,DDR5,2048,SATA SSD,fair,Alienware,1.3,1792.71,1662.24,78.0,84.0,0.72
synthetic_demo,demo-00056,Intel Core i9-14900K,NVIDIA GeForce RTX 3090,64,DDR5,512,HDD,good,MSI,2.5,1585.42,1626.87,100.0,82.0,0.84
synthetic_demo,demo-00057,AMD Ryzen 9 7900X,AMD Radeon RX 7800 XT,32,DDR5,2048,NVMe SSD,good,Alienware,3.6,1386.12,1510.86,88.0,73.0,0.84
synthetic_demo,demo-00058,AMD Ryzen 7 7700X,Intel Arc A750,32,DDR4,2048,NVMe SSD,excellent,MSI,0.6,1927.79,1609.3,82.0,43.0,0.9
synthetic_demo,demo-00059,Intel Core i5-12600K,AMD Radeon RX 7800 XT,16,DDR4,1024,NVMe SSD,good,ASUS,3.1,1426.13,1334.6,68.0,73.0,0.84
synthetic_demo,demo-00060,Intel Core i5-12600K,AMD Radeon RX 6800 XT,32,DDR5,4096,NVMe SSD,good,Lenovo,5.0,1477.11,1478.72,68.0,69.0,0.84
synthetic_demo,demo-00061,Intel Core i7-12700K,AMD Radeon RX 6800 XT,32,DDR5,1024,NVMe SSD,excellent,ASUS,4.7,1755.43,1470.73,76.0,69.0,0.9
synthetic_demo,demo-00062,AMD Ryzen 5 5600X,AMD Radeon RX 7600,32,DDR5,1024,SATA SSD,excellent,Dell,3.1,890.0,985.4,58.0,50.0,0.9
synthetic_demo,demo-00063,Intel Core i9-13900K,NVIDIA GeForce RTX 3060,64,DDR5,512,NVMe SSD,like_new,Alienware,5.6,1598.41,1563.93,95.0,48.0,0.95
synthetic_demo,demo-00064,AMD Ryzen 9 7900X,AMD Radeon RX 7900 XT,32,DDR5,1024,NVMe SSD,good,MSI,2.1,1872.15,2014.59,88.0,84.0,0.84
synthetic_demo,demo-00065,AMD Ryzen 9 7950X3D,AMD Radeon RX 6700 XT,32,DDR5,256,NVMe SSD,good,MSI,1.3,1644.69,1643.8,100.0,57.0,0.84
synthetic_demo,demo-00066,Intel Core i7-12700K,AMD Radeon RX 6800 XT,64,DDR5,1024,NVMe SSD,excellent,HP,2.8,1722.34,1604.03,76.0,69.0,0.9
synthetic_demo,demo-00067,Intel Core i5-13600K,NVIDIA GeForce RTX 4090,32,DDR4,2048,NVMe SSD,fair,Lenovo,5.2,1412.93,1279.37,79.0,100.0,0.72
synthetic_demo,demo-00068,Intel Core i5-12400,NVIDIA GeForce RTX 4090,64,DDR4,1024,SATA SSD,good,MSI,0.0,1842.45,1927.9,56.0,100.0,0.84
synthetic_demo,demo-00069,Intel Core i5-14600K,NVIDIA GeForce RTX 4060 Ti,16,DDR5,1024,NVMe SSD,good,HP,0.7,1401.96,1392.78,84.0,62.0,0.84
synthetic_demo,demo-00070,AMD Ryzen 5 5600X,AMD Radeon RX 7900 XT,16,DDR4,512,NVMe SSD,new,Dell,4.4,1268.91,1216.52,58.0,84.0,1.0
synthetic_demo,demo-00071,AMD Ryzen 5 7600X,Intel Arc A750,16,DDR4,4096,NVMe SSD,fair,Alienware,2.0,1389.5,1218.57,74.0,43.0,0.72
synthetic_demo,demo-00072,AMD Ryzen 9 7950X3D,Intel Arc A770,16,DDR5,512,NVMe SSD,excellent,ASUS,3.7,1543.17,1506.2,100.0,48.0,0.9
synthetic_demo,demo-00073,AMD Ryzen 5 5600X,NVIDIA GeForce RTX 2080,16,DDR4,1024,NVMe SSD,like_new,Dell,1.6,1270.81,1194.09,58.0,44.0,0.95
synthetic_demo,demo-00074,AMD Ryzen 7 7800X3D,AMD Radeon RX 6700 XT,8,DDR5,1024,HDD,excellent,ASUS,3.1,1199.05,1142.98,96.0,57.0,0.9
synthetic_demo,demo-00075,AMD Ryzen 7 5800X,NVIDIA GeForce RTX 4070 Ti SUPER,32,DDR4,2048,SATA SSD,good,MSI,3.2,2342.79,1908.3,70.0,84.0,0.84
synthetic_demo,demo-00076,AMD Ryzen 7 7800X3D,AMD Radeon RX 6700 XT,64,DDR5,1024,NVMe SSD,good,Dell,1.3,1413.85,1582.1,96.0,57.0,0.84
synthetic_demo,demo-00077,AMD Ryzen 9 7950X3D,AMD Radeon RX 7900 XT,64,DDR5,512,NVMe SSD,good,ASUS,1.8,2255.43,1943.36,100.0,84.0,0.84
synthetic_demo,demo-00078,Intel Core i5-12600K,Intel Arc A750,16,DDR5,2048,NVMe SSD,good,Lenovo,1.6,993.74,1204.14,68.0,43.0,0.84
synthetic_demo,demo-00079,AMD Ryzen 5 5600X,NVIDIA GeForce RTX 3060,64,DDR4,2048,NVMe SSD,good,MSI,2.5,1187.49,1203.06,58.0,48.0,0.84
synthetic_demo,demo-00080,Intel Core i5-14600K,AMD Radeon RX 6700 XT,32,DDR5,1024,NVMe SSD,like_new,Alienware,1.3,1501.75,1737.68,84.0,57.0,0.95
synthetic_demo,demo-00081,Intel Core i7-14700K,NVIDIA GeForce RTX 3080,32,DDR5,2048,NVMe SSD,new,Alienware,0.3,2528.74,2775.0,93.0,72.0,1.0
synthetic_demo,demo-00082,AMD Ryzen 9 7900X,NVIDIA GeForce RTX 3090,32,DDR5,1024,NVMe SSD,good,MSI,0.9,2930.75,2202.73,88.0,82.0,0.84
synthetic_demo,demo-00083,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 4070 Ti SUPER,16,DDR5,1024,NVMe SSD,excellent,Lenovo,0.8,2029.25,1889.16,100.0,84.0,0.9
synthetic_demo,demo-00084,Intel Core i5-12600K,NVIDIA GeForce RTX 2080,32,DDR5,2048,NVMe SSD,good,Dell,5.7,907.96,894.12,68.0,44.0,0.84
synthetic_demo,demo-00085,AMD Ryzen 5 5600X,NVIDIA GeForce RTX 3090,16,DDR4,1024,NVMe SSD,fair,ASUS,4.1,1181.58,1178.77,58.0,82.0,0.72
synthetic_demo,demo-00086,AMD Ryzen 7 5800X3D,NVIDIA GeForce RTX 4060,16,DDR5,1024,HDD,good,Dell,2.6,944.76,929.72,78.0,54.0,0.84
synthetic_demo,demo-00087,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4060,32,DDR5,1024,NVMe SSD,like_new,custom,2.3,1608.62,1634.0,96.0,54.0,0.95
synthetic_demo,demo-00088,AMD Ryzen 9 7950X,AMD Radeon RX 6800 XT,16,DDR5,4096,NVMe SSD,like_new,custom,3.6,2165.55,2051.6,95.0,69.0,0.95
synthetic_demo,demo-00089,Intel Core i9-14900K,AMD Radeon RX 7700 XT,32,DDR5,1024,NVMe SSD,good,MSI,3.4,1547.1,1487.59,100.0,64.0,0.84
synthetic_demo,demo-00090,AMD Ryzen 9 7900X,AMD Radeon RX 7900 XTX,32,DDR5,1024,NVMe SSD,good,Dell,1.6,1938.5,1881.55,88.0,92.0,0.84
synthetic_demo,demo-00091,AMD Ryzen 9 7900X,NVIDIA GeForce RTX 3090,16,DDR5,2048,NVMe SSD,excellent,Lenovo,6.4,1715.24,1590.27,88.0,82.0,0.9
synthetic_demo,demo-00092,Intel Core i7-13700K,AMD Radeon RX 7800 XT,64,DDR5,1024,NVMe SSD,good,custom,1.5,1788.76,1543.21,87.0,73.0,0.84
synthetic_demo,demo-00093,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4060,32,DDR5,1024,NVMe SSD,good,Alienware,3.2,1269.64,1466.87,96.0,54.0,0.84
synthetic_demo,demo-00094,AMD Ryzen 9 7950X3D,AMD Radeon RX 7900 XT,32,DDR5,1024,NVMe SSD,good,ASUS,4.4,1506.0,1621.17,100.0,84.0,0.84
synthetic_demo,demo-00095,Intel Core i5-14600K,NVIDIA GeForce RTX 4070 Ti SUPER,32,DDR4,2048,NVMe SSD,good,ASUS,2.0,1899.18,1816.97,84.0,84.0,0.84
synthetic_demo,demo-00096,AMD Ryzen 7 7700X,NVIDIA GeForce RTX 3080,64,DDR5,512,NVMe SSD,good,Lenovo,2.3,1581.79,1558.72,82.0,72.0,0.84
synthetic_demo,demo-00097,Intel Core i9-14900K,AMD Radeon RX 7800 XT,16,DDR5,2048,NVMe SSD,good,HP,3.1,1425.41,1819.67,100.0,73.0,0.84
synthetic_demo,demo-00098,Intel Core i5-14600K,NVIDIA GeForce RTX 4070 Ti SUPER,32,DDR5,2048,NVMe SSD,new,Alienware,2.4,2338.41,2186.25,84.0,84.0,1.0
synthetic_demo,demo-00099,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 3080,32,DDR5,2048,NVMe SSD,good,Dell,2.2,1508.28,1405.93,100.0,72.0,0.84
synthetic_demo,demo-00100,AMD Ryzen 7 5800X3D,AMD Radeon RX 6700 XT,32,DDR5,2048,NVMe SSD,excellent,ASUS,5.7,1199.73,1065.12,78.0,57.0,0.9
synthetic_demo,demo-00101,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4060 Ti,32,DDR5,2048,NVMe SSD,good,Lenovo,2.2,1482.22,1585.76,96.0,62.0,0.84
synthetic_demo,demo-00102,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,16,DDR5,1024,NVMe SSD,good,MSI,2.2,2018.06,1837.5,95.0,73.0,0.84
synthetic_demo,demo-00103,AMD Ryzen 9 7950X3D,AMD Radeon RX 6800 XT,32,DDR5,512,NVMe SSD,good,HP,5.7,1478.17,1363.74,100.0,69.0,0.84
synthetic_demo,demo-00104,AMD Ryzen 9 7950X,NVIDIA GeForce RTX 4060,16,DDR5,512,NVMe SSD,good,custom,5.8,1212.41,1079.81,95.0,54.0,0.84
synthetic_demo,demo-00105,AMD Ryzen 5 7600X,NVIDIA GeForce RTX 4060 Ti,32,DDR5,256,SATA SSD,fair,custom,2.3,1041.05,1072.96,74.0,62.0,0.72
synthetic_demo,demo-00106,Intel Core i5-14600K,NVIDIA GeForce RTX 4070 Ti,32,DDR5,512,NVMe SSD,excellent,MSI,4.5,1474.22,1318.34,84.0,80.0,0.9
synthetic_demo,demo-00107,Intel Core i5-13600K,AMD Radeon RX 7700 XT,16,DDR5,1024,NVMe SSD,good,Alienware,2.5,1812.62,1625.54,79.0,64.0,0.84
synthetic_demo,demo-00108,AMD Ryzen 9 7900X,NVIDIA GeForce RTX 3080,64,DDR5,2048,NVMe SSD,excellent,custom,5.9,1377.96,1560.91,88.0,72.0,0.9
synthetic_demo,demo-00109,Intel Core i9-14900K,NVIDIA GeForce RTX 3070,64,DDR5,1024,NVMe SSD,good,HP,2.7,1332.43,1348.37,100.0,60.0,0.84
synthetic_demo,demo-00110,Intel Core i7-14700K,NVIDIA GeForce RTX 3060,32,DDR5,1024,NVMe SSD,like_new,ASUS,5.4,1333.22,1374.3,93.0,48.0,0.95
synthetic_demo,demo-00111,AMD Ryzen 5 7600X,AMD Radeon RX 6700 XT,32,DDR5,2048,SATA SSD,good,ASUS,1.1,1417.29,1543.31,74.0,57.0,0.84
synthetic_demo,demo-00112,Intel Core i7-13700K,AMD Radeon RX 7900 XTX,128,DDR5,2048,NVMe SSD,fair,Alienware,1.7,2317.68,2005.73,87.0,92.0,0.72
synthetic_demo,demo-00113,Intel Core i5-12600K,AMD Radeon RX 6700 XT,32,DDR5,512,SATA SSD,fair,custom,3.8,684.02,639.01,68.0,57.0,0.72
synthetic_demo,demo-00114,AMD Ryzen 7 7700X,AMD Radeon RX 7900 XT,64,DDR5,4096,NVMe SSD,excellent,Lenovo,2.9,2616.93,2177.83,82.0,84.0,0.9
synthetic_demo,demo-00115,Intel Core i7-13700K,Intel Arc A750,16,DDR5,1024,NVMe SSD,fair,ASUS,0.0,1294.7,1177.98,87.0,43.0,0.72
synthetic_demo,demo-00116,Intel Core i5-13600K,AMD Radeon RX 6800 XT,8,DDR5,512,NVMe SSD,fair,ASUS,0.1,1754.73,1629.53,79.0,69.0,0.72
synthetic_demo,demo-00117,AMD Ryzen 9 7900X,AMD Radeon RX 7900 XT,128,DDR5,2048,SATA SSD,like_new,Dell,4.2,2070.3,1846.21,88.0,84.0,0.95
synthetic_demo,demo-00118,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 4080,32,DDR5,512,NVMe SSD,excellent,HP,4.6,1722.8,1620.03,100.0,90.0,0.9
synthetic_demo,demo-00119,AMD Ryzen 7 5800X3D,NVIDIA GeForce RTX 4060 Ti,16,DDR5,1024,NVMe SSD,good,Lenovo,3.3,1187.2,1157.96,78.0,62.0,0.84
synthetic_demo,demo-00120,AMD Ryzen 7 7700X,NVIDIA GeForce RTX 3090,32,DDR5,1024,SATA SSD,good,Dell,2.5,1803.33,1581.89,82.0,82.0,0.84
synthetic_demo,demo-00121,Intel Core i5-12400,NVIDIA GeForce RTX 4060 Ti,16,DDR5,4096,NVMe SSD,good,Dell,1.0,2003.74,1686.44,56.0,62.0,0.84
synthetic_demo,demo-00122,Intel Core i5-14600K,NVIDIA GeForce RTX 3070,16,DDR5,1024,NVMe SSD,good,Lenovo,1.5,1394.96,1315.71,84.0,60.0,0.84
synthetic_demo,demo-00123,Intel Core i9-14900K,NVIDIA GeForce RTX 3070,8,DDR5,2048,SATA SSD,good,MSI,4.2,1540.19,1313.15,100.0,60.0,0.84
synthetic_demo,demo-00124,AMD Ryzen 9 7950X,Intel Arc A770,64,DDR4,2048,NVMe SSD,excellent,ASUS,4.3,1708.75,1559.91,95.0,48.0,0.9
synthetic_demo,demo-00125,AMD Ryzen 7 5800X,Intel Arc A770,16,DDR4,2048,NVMe SSD,fair,ASUS,6.8,643.88,766.84,70.0,48.0,0.72
synthetic_demo,demo-00126,AMD Ryzen 9 7950X,NVIDIA GeForce RTX 3070,64,DDR5,512,SATA SSD,fair,Dell,5.5,960.97,914.53,95.0,60.0,0.72
synthetic_demo,demo-00127,Intel Core i7-12700K,NVIDIA GeForce RTX 4060 Ti,16,DDR5,2048,NVMe SSD,fair,MSI,5.0,795.82,869.9,76.0,62.0,0.72
synthetic_demo,demo-00128,AMD Ryzen 7 5800X3D,NVIDIA GeForce RTX 3080,64,DDR5,4096,NVMe SSD,excellent,custom,0.1,2334.94,2154.08,78.0,72.0,0.9
synthetic_demo,demo-00129,Intel Core i5-14600K,NVIDIA GeForce RTX 4070 Ti SUPER,16,DDR5,4096,HDD,good,Dell,3.7,1472.49,1638.42,84.0,84.0,0.84
synthetic_demo,demo-00130,AMD Ryzen 9 7900X,AMD Radeon RX 7900 XTX,8,DDR5,1024,NVMe SSD,good,Lenovo,0.0,1916.39,1930.24,88.0,92.0,0.84
synthetic_demo,demo-00131,Intel Core i7-13700K,Intel Arc A750,64,DDR5,512,SATA SSD,good,Lenovo,3.6,1288.25,1222.45,87.0,43.0,0.84
synthetic_demo,demo-00132,Intel Core i9-13900K,Intel Arc A770,16,DDR5,512,NVMe SSD,like_new,custom,4.1,1409.74,1289.78,95.0,48.0,0.95
synthetic_demo,demo-00133,AMD Ryzen 9 7950X,NVIDIA GeForce RTX 3070,128,DDR5,512,NVMe SSD,excellent,Dell,1.6,1977.72,1866.34,95.0,60.0,0.9
synthetic_demo,demo-00134,Intel Core i5-12400,AMD Radeon RX 7900 XT,32,DDR5,2048,NVMe SSD,good,Lenovo,4.2,1512.7,1385.1,56.0,84.0,0.84
synthetic_demo,demo-00135,Intel Core i7-12700K,NVIDIA GeForce RTX 3080,8,DDR5,1024,HDD,good,custom,2.3,1421.14,1265.54,76.0,72.0,0.84
synthetic_demo,demo-00136,Intel Core i7-14700K,AMD Radeon RX 6800 XT,64,DDR5,2048,NVMe SSD,fair,MSI,0.0,1373.32,1539.97,93.0,69.0,0.72
synthetic_demo,demo-00137,Intel Core i5-14600K,NVIDIA GeForce RTX 4070 Ti SUPER,32,DDR5,2048,SATA SSD,good,Alienware,0.0,2065.8,1852.83,84.0,84.0,0.84
synthetic_demo,demo-00138,AMD Ryzen 7 7700X,AMD Radeon RX 6700 XT,16,DDR5,2048,NVMe SSD,good,Alienware,2.3,1762.23,1533.81,82.0,57.0,0.84
synthetic_demo,demo-00139,Intel Core i9-13900K,NVIDIA GeForce RTX 4070,64,DDR5,1024,HDD,fair,Lenovo,5.1,1251.3,1064.61,95.0,72.0,0.72
synthetic_demo,demo-00140,AMD Ryzen 5 5600X,NVIDIA GeForce RTX 4060 Ti,16,DDR4,2048,SATA SSD,good,Alienware,3.0,1089.58,1111.18,58.0,62.0,0.84
synthetic_demo,demo-00141,Intel Core i9-13900K,NVIDIA GeForce RTX 4090,16,DDR5,512,NVMe SSD,good,HP,0.3,1817.86,1810.26,95.0,100.0,0.84
synthetic_demo,demo-00142,Intel Core i5-14600K,NVIDIA GeForce RTX 2080,32,DDR5,512,NVMe SSD,new,MSI,4.2,1447.92,1605.62,84.0,44.0,1.0
synthetic_demo,demo-00143,Intel Core i5-12600K,NVIDIA GeForce RTX 3070,32,DDR4,4096,HDD,good,HP,3.5,1257.53,1156.38,68.0,60.0,0.84
synthetic_demo,demo-00144,AMD Ryzen 7 7800X3D,AMD Radeon RX 7700 XT,32,DDR5,1024,NVMe SSD,new,Dell,2.6,1630.47,1439.29,96.0,64.0,1.0
synthetic_demo,demo-00145,Intel Core i5-12400,NVIDIA GeForce RTX 3060,32,DDR5,1024,NVMe SSD,good,custom,1.8,1080.32,1157.87,56.0,48.0,0.84
synthetic_demo,demo-00146,AMD Ryzen 7 7800X3D,Intel Arc A750,32,DDR5,2048,NVMe SSD,good,Alienware,1.7,1626.03,1592.47,96.0,43.0,0.84
synthetic_demo,demo-00147,Intel Core i7-12700K,NVIDIA GeForce RTX 3060,64,DDR5,1024,NVMe SSD,excellent,Dell,3.4,1664.31,1419.98,76.0,48.0,0.9
synthetic_demo,demo-00148,Intel Core i7-14700K,NVIDIA GeForce RTX 4070,32,DDR5,1024,SATA SSD,good,ASUS,2.2,1513.08,1319.48,93.0,72.0,0.84
